global_idx,theme,prompt,strategy,seed,token_ids,text
0,News,"The government announced a new economic policy today, stating that",greedy,,"[340, 481, 366, 43043, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884, 4493, 11, 1390, 262, 2478, 286, 649, 6884, 4493, 11, 290, 284, 1325, 287, 262, 2478, 286, 262, 1499, 338, 6884, 290, 6884]"," it will ""continue to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure projects, including the development of new infrastructure projects, and to invest in the development of the country's infrastructure and infrastructure"
0,News,"The government announced a new economic policy today, stating that",top_p,11.0,"[366, 42122, 777, 1115, 13620, 11, 3349, 481, 2555, 284, 4378, 2440, 832, 1195, 19, 526, 632, 468, 8203, 11, 2158, 11, 326, 428, 19360, 3793, 21588, 422, 3269, 286, 2813, 13, 383, 327, 3, 21, 13, 19, 12989, 14166, 422, 2807, 338, 5001, 286, 371, 2749, 9747, 30251, 938, 1227, 373, 2727, 287, 636, 416, 32017, 19464, 4536, 287, 262, 7740, 1499, 11, 7186, 287, 281, 2620, 287, 262, 1271, 286, 3215, 4896, 287, 262, 6567, 13, 632, 468, 890, 587, 1900, 326, 2807, 318, 6095, 284, 1382, 319, 663, 4896, 290, 7593, 2779, 287, 1994, 5939, 13, 2080, 3292, 6078, 1700, 2974, 11, 3999, 2706, 635, 5380, 584, 649, 5939, 13, 1114, 1672, 11, 4100, 559, 338, 5301, 286, 12506, 481, 1037, 287, 8620, 262, 34847, 290, 815, 1037, 2807, 26091, 3034, 3349, 287, 262, 1499, 13, 8013, 257, 1410, 1244, 635, 26724, 2252, 3292, 3349, 11, 355, 3292, 11807, 468, 3220, 422, 720, 23, 2997, 287, 3648, 284, 720, 1828, 2997, 287, 2321, 11, 981, 3230, 3292, 12, 3083, 11, 262, 1241, 318, 772, 3744, 287, 2807, 13, 770, 1245, 318, 5059, 510, 262, 1393, 287, 649, 4896, 287, 2807, 338, 9138, 16020, 11, 543, 547, 739]"," ""during these three quarters, growth will continue to tick higher through Q4."" It has indicated, however, that this outlook remains unchanged from January of 2011. The C$6.4 trillion boom from China's purchase of RBC Capital Markets last month was created in part by booming commodity prices in the Asian country, resulting in an increase in the number of foreign investment in the sector. It has long been known that China is seeking to build on its investment and industrial base in key markets. With trade losing record levels, Chinese companies also seek other new markets. For example, Macau's package of reforms will help in raising the yuan and should help China bolster economic growth in the country. Such a plan might also spur further trade growth, as trade deficit has increased from $8 billion in 2008 to $22 billion in 2012, while international trade-wise, the level is even greater in China. This effect is driving up the interest in new investment in China's manufacturing sectors, which were under"
0,News,"The government announced a new economic policy today, stating that",top_p,22.0,"[262, 3482, 481, 10400, 736, 8715, 3965, 287, 262, 2406, 1933, 284, 4829, 287, 257, 1218, 640, 13, 770, 1724, 326, 262, 1459, 5969, 2494, 379, 4248, 16, 13, 2548, 318, 1884, 284, 4485, 416, 546, 767, 13, 20, 14751, 284, 4248, 16, 13, 5999, 287, 2864, 11, 351, 10610, 7396, 416, 546, 807, 13, 20, 14751, 13, 770, 481, 307, 3940, 416, 281, 2620, 286, 362, 13, 23, 14751, 287, 12131, 13, 198, 198, 32475, 4904, 22132, 20517, 10711, 7415, 13768, 262, 2551, 319, 3203, 11, 3597, 326, 262, 705, 17079, 2458, 6, 750, 407, 4174, 284, 262, 705, 5796, 2571, 6, 5939, 13, 198, 198, 5189, 1781, 612, 481, 307, 281, 4238, 4414, 286, 262, 649, 2450, 11, 475, 356, 481, 635, 761, 284, 4155, 326, 17038, 1663, 11, 2138, 621, 1650, 736, 290, 1309, 262, 5939, 5409, 644, 484, 821, 922, 379, 13, 383, 3015, 329, 736, 8715, 3965, 2058, 706, 812, 286, 1057, 12, 1040, 351, 262, 14896, 11, 3756, 284, 257, 513, 14751, 2121, 287, 46499, 1201, 2901, 3050, 11, 290, 784, 4630, 2131, 784, 257, 16470, 287, 262, 14896, 326, 2252, 336, 4948, 444, 674, 11754, 290, 4839, 2324, 13, 50256]"," the UK will introduce backdated rates in the coming months to kick in a second time. This means that the current fixed rate at £1.38 is likely to rise by about 7.5pc to £1.83 in 2018, with inflation rising by about 8.5pc. This will be followed by an increase of 2.8pc in 2020.

Labour MP Ruth Cadbury yesterday defended the decision on Facebook, writing that the 'economic changes' did not apply to the 'smarter' markets.

Of course there will be an initial benefit of the new policy, but we will also need to ensure that entrepreneurs grow, rather than sit back and let the markets decide what they're good at. The vote for backdated rates comes after years of run-ins with the pound, leading to a 3pc fall in sterling since July 2010, and – crucially – a leap in the pound that further stymies our banking and transport security."
0,News,"The government announced a new economic policy today, stating that",top_p,33.0,"[340, 468, 262, 366, 42404, 284, 5249, 4258, 1487, 355, 880, 355, 39339, 340, 526, 198, 198, 464, 649, 481, 1575, 720, 25964, 2997, 329, 477, 1802, 2678, 739, 2478, 287, 262, 6135, 12, 1941, 6772, 11, 257, 1575, 326, 481, 4574, 262, 2756, 286, 3056, 832, 262, 9753, 625, 257, 1813, 4129, 286, 640, 11, 531, 262, 2050, 11, 543, 7746, 663, 13530, 379, 6301, 5441, 4, 286, 663, 5150, 3227, 416, 12131, 13, 1320, 23677, 656, 1088, 720, 6200, 2997, 583, 614, 416, 12131, 11, 393, 720, 19, 13, 17, 583, 1048, 583, 1110, 13, 198, 198, 53, 9682, 318, 530, 286, 262, 2678, 810, 262, 3278, 468, 1043, 3056, 4536, 389, 7463, 11, 2263, 262, 2756, 286, 262, 995, 338, 1218, 4094, 11515, 503, 286, 663, 3151, 13, 383, 1898, 13, 1073, 13, 80, 13, 6922, 11, 543, 481, 8720, 3896, 286, 262, 720, 1270, 13, 1495, 1067, 47, 67, 286, 4238, 4896, 329, 257, 5257, 1814, 11, 2087, 326, 1231, 257, 1451, 11, 339, 13423, 3056, 11408, 284, 1234, 319, 511, 2366, 262, 3833, 13, 198, 198, 1925, 4131, 282, 347, 14715, 463, 357, 454, 3215, 2316, 4706, 8, 550, 1965, 609, 4131, 282, 284, 2912]"," it has the ""capacity to combat climate change as well as eradicate it.""

The new will cost $390 billion for all 100 countries under development in the 65-year cycle, a cost that will push the price of oil through the roof over a given length of time, said the study, which estimates its effectiveness at selling 75% of its proposed production by 2020. That translates into around $300 billion per year by 2020, or $4.2 per person per day.

Virts is one of the countries where the poll has found oil prices are falling, taking the price of the world's second biggest reserve out of its reach. The Euro.co.q. ruling, which will officially rule of the $30.25 crPd of initial investment for a managed fund, added that without a cap, he expects oil producers to put on their foot the pressure.

Chambal Bashaud (our foreign relations manager) had asked Chambal to comment"
1,News,Local authorities issued a warning after heavy rainfall caused,greedy,,"[17448, 290, 29433, 1460, 287, 3354, 286, 4243, 328, 9900, 290, 7346, 3006, 11, 13891, 2975, 3067, 290, 4445, 1204, 8916, 14, 6633, 1987, 14, 1120, 718, 2693, 2864, 26122, 6769, 12734, 355, 484, 9960, 1613, 257, 29780, 422, 810, 2258, 4969, 338, 3554, 6502, 17960, 791, 373, 4964, 11, 1141, 257, 2347, 7903, 319, 6502, 13778, 29802, 6616, 287, 21614, 13, 383, 2422, 16134, 373, 2714, 284, 1317, 262, 7027, 4317, 400, 10955, 11, 475, 1006, 13363, 422, 4478, 572, 262, 987, 35415, 22681, 12798, 326, 423, 1775, 340, 2277, 351, 3294, 3230, 9388, 8916, 14, 6633, 1679, 14, 1120, 642, 2693, 2864, 1294, 13241, 4287, 3251, 257, 5402, 273, 355, 8974, 18726, 21195, 1332, 6945, 1141, 262, 1218, 1110, 286, 465, 1294, 3845, 22351, 4606, 12641, 4854, 284, 307, 281, 22669, 4796, 319, 262, 1294, 5617, 3078, 13, 1992, 3759, 1301, 338, 15530, 5617, 3078, 10429, 18726, 21195, 318, 2938, 284, 1986, 28641, 14085, 422, 4956, 428, 1285, 625, 465, 17819, 286, 4787, 16989, 290, 465, 5471, 284, 7950, 8916, 14, 6633, 2608, 14, 1120, 604, 2693, 2864, 5245, 1886, 4979, 11490, 290, 5735, 32560, 24248, 24971, 706, 484, 547, 3181, 866, 416, 1913, 13520, 4073, 416, 37428]"," flooding and landslides in parts of Siliguri and surrounding areas, affecting road travel and daily life AFP/Getty 24/50 6 September 2018 Participants wave flowers as they march past a balcony from where North Korea's leader Kim Jong Un was watching, during a mass rally on Kim Il Sung square in Pyongyang. The military parade was held to mark the nations 70th birthday, but refrained from showing off the intercontinental ballistic missiles that have seen it hit with multiple international sanctions AFP/Getty 25/50 5 September 2018 US Capitol Police arrest a protestor as Judge Brett Kavanaugh testifies during the second day of his US Senate Judiciary Committee confirmation hearing to be an Associate Justice on the US Supreme Court. President Donald Trump's newest Supreme Court nominee Brett Kavanaugh is expected to face punishing questioning from Democrats this week over his endorsement of presidential immunity and his opposition to abortion AFP/Getty 26/50 4 September 2018 Damaged traffic boards and telecommunication relay poles after they were brought down by strong winds caused by typh"
1,News,Local authorities issued a warning after heavy rainfall caused,top_p,11.0,"[17448, 287, 257, 1748, 326, 373, 2277, 416, 257, 7463, 5509, 13, 1318, 547, 645, 7040, 2098, 1871, 262, 25307, 661, 508, 547, 2098, 355, 4713, 12, 17945, 416, 262, 3665, 11975, 1364, 416, 10923, 1820, 13, 8916, 14, 6633, 1987, 14, 1120, 352, 2693, 2864, 317, 7273, 958, 12, 42767, 17880, 37517, 12, 7410, 543, 1341, 1638, 276, 572, 262, 23443, 290, 4978, 2046, 1141, 9581, 11, 379, 37126, 3230, 9003, 11, 287, 262, 3394, 2619, 6896, 12600, 13, 3284, 338, 9358, 5342, 1139, 257, 21277, 379, 262, 9003, 3724, 1141, 262, 6334, 2882, 706, 257, 9581, 45110, 1337, 1068, 572, 262, 886, 286, 262, 23443, 11, 656, 257, 7850, 3077, 290, 4978, 2046, 13, 1318, 547, 645, 7040, 2098, 1871, 262, 25307, 10405, 290, 2237, 5462, 1866, 15500, 262, 7273, 958, 17880, 37517, 11, 475, 262, 3394, 1535, 11957, 531, 1248, 661, 547, 6686, 13, 383, 2046, 373, 42774, 1626, 3624, 2431, 3486, 1679, 14, 1120, 3261, 2932, 2864, 337, 1798, 364, 5262, 4231, 12898, 14021, 338, 14825, 379, 18169, 16156, 10857, 287, 8488, 8916, 14, 6633, 2608, 14, 1120, 1542, 2932, 2864, 3764, 17114, 2342, 319, 355, 16209, 16470, 422, 257, 6175, 8860, 2046, 287, 262, 8434]"," flooding in a city that was hit by a falling tree. There were no deaths reported among the 164 people who were reported as fresh-hit by the powerful blast left by Lammy. AFP/Getty 24/50 1 September 2018 A Utair-operated Boeing 737-800 which skidded off the runway and caught fire during landing, at Sochi international airport, in the Russian Black Sea resort. Russia's transportation minister says a supervisor at the airport died during the emergency response after a landing airliner careered off the end of the runway, into a riverbed and caught fire. There were no deaths reported among the 164 passengers and six crew members aboard the Utair Boeing 737, but the Russian health ministry said 18 people were injured. The fire was extinguished within eight minutes AP 25/50 31 August 2018 Mourners attend Aretha Franklin's funeral at Greater Grace Temple in Detroit AFP/Getty 26/50 30 August 2018 Firefighters watch on as flames leap from a giant factory fire in the inner"
1,News,Local authorities issued a warning after heavy rainfall caused,top_p,22.0,"[17448, 287, 402, 2797, 333, 290, 617, 9725, 284, 37173, 13, 685, 464, 2669, 2947, 60, 198, 198, 38150, 286, 10380, 781, 3543, 284, 1029, 1524, 287, 4392, 198, 198, 45272, 5587, 7977, 8649, 198, 198, 37837, 6745, 6325, 10829, 471, 13, 50, 7874, 17078, 9906, 6553, 422, 4392, 11, 1863, 351, 720, 1238, 1510, 287, 2422, 6133, 329, 262, 6318, 5471, 198, 198, 28951, 1424, 5611, 11278, 355, 26665, 2277, 14034, 6116, 198, 198, 33, 1077, 283, 435, 12, 23622, 25, 3284, 481, 4654, 2832, 198, 198, 3791, 471, 13, 50, 13, 1410, 3848, 329, 12285, 6318, 4390, 12700, 198, 198, 5167, 5205, 422, 18593, 198, 198, 5167, 5205, 286, 18593, 198, 198, 21197, 286, 18593, 11, 4392, 11, 422, 4332, 6849, 25, 1374, 284, 3232, 18593, 198, 198, 5167, 18593, 5986, 319, 4916, 20092, 50256]"," flooding in Guntur and some roads to reopen. [The Washington Post]

Hundreds of civilians flocked to high school in Syria

Army strike targeted terrorism

Military council approved removing U.S.-backed coalition troops from Syria, along with $20 million in military aid for the Syrian opposition

Rebels launched explosion as airstrikes hit rebel positions

Bashar al-Assad: Russia will join hands

New U.S. plan calls for backing Syrian Democratic Forces

More photos from Aleppo

More photos of Aleppo

Photos of Aleppo, Syria, from PressTV: How to Free Aleppo

More Aleppo pictures on USA TODAY"
1,News,Local authorities issued a warning after heavy rainfall caused,top_p,33.0,"[17448, 13, 198, 198, 28705, 423, 925, 645, 3068, 286, 644, 12053, 262, 6388, 11, 475, 612, 373, 25556, 1393, 287, 262, 10309, 3035, 1478, 6388, 290, 4058, 286, 257, 3249, 379, 262, 45726, 2351, 20604, 257, 1178, 1528, 1568, 546, 10192, 262, 3952, 422, 20228, 13, 198, 198, 36623, 13772, 262, 7765, 12, 929, 869, 319, 262, 783, 12, 4299, 16260, 1448, 6127, 2297, 543, 3360, 18563, 11776, 326, 262, 23964, 318, 393, 815, 307, 11987, 355, 257, 3288, 9336, 13, 198, 198, 33, 312, 329, 1223, 284, 1234, 287, 262, 23964, 12, 4108, 1886, 45726, 3793, 749, 7634, 6692, 284, 262, 7110, 1010, 290, 511, 10655, 13, 198, 198, 32, 4347, 11416, 6523, 4999, 262, 6614, 6872, 1315, 10405, 12120, 287, 1737, 11, 475, 750, 407, 5911, 262, 1467, 12, 1941, 12, 727, 471, 13, 50, 13, 2415, 5174, 287, 262, 16280, 286, 262, 11975, 13, 198, 198, 6, 1135, 389, 41586, 290, 36943, 416, 428, 15444, 13574, 4032, 1812, 2732, 6523, 1757, 23965, 531, 287, 257, 2643, 13, 198, 198, 6, 1870, 326, 318, 1521, 356, 423, 6149, 262, 3224, 6829, 287, 5137, 257, 1336, 7628, 1410, 656, 1245, 13, 887, 356, 765, 284, 5503, 326, 661]"," flooding.

Authorities have made no mention of what prompted the storm, but there was heightened interest in the deadly April 14 storm and ahead of a meeting at the Bahamas National Parks a few days later about protecting the park from storms.

Critics blamed the wake-up call on the now-defunct group Code Red which sometimes disputes suggestions that the hurricane is or should be regarded as a natural disaster.

Bid for something to put in the hurricane-ravaged Bahamas remains most strongly linked to the plotters and their legacy.

A Port Authority spokesman confirmed the plane carrying 15 passengers disappeared in May, but did not identify the 16-year-old U.S. woman identified in the aftermath of the blast.

'We are appalled and disgusted by this tragic tragedy,' State Department spokesman John Kirby said in a statement.

'And that is why we have ordered the additional assistance in putting a full recovery plan into effect. But we want to stress that people"
2,News,The company's stock price fell sharply this morning following,greedy,,"[262, 8009, 286, 262, 1664, 338, 17235, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 13, 198, 198, 464, 1664, 338, 4283, 2756, 468, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180, 11, 290, 663, 7303, 423, 9292, 416, 517, 621, 1160, 4, 1201, 262, 12180]"," the announcement of the company's bankruptcy filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing.

The company's stock price has fallen by more than 20% since the filing, and its shares have fallen by more than 20% since the filing"
2,News,The company's stock price fell sharply this morning following,top_p,11.0,"[257, 2837, 286, 7794, 2173, 13, 198, 198, 464, 4536, 286, 262, 5572, 6849, 82, 14121, 38428, 7222, 338, 11112, 19952, 284, 720, 24839, 13, 2481, 319, 262, 1110, 286, 262, 1664, 338, 41805, 290, 262, 3741, 286, 663, 7303, 547, 7313, 379, 720, 18376, 13, 198, 198, 3260, 23617, 338, 4283, 1816, 510, 11, 262, 4283, 373, 866, 1248, 13, 4304, 4, 284, 1969, 379, 720, 14454, 13, 4524, 11, 393, 513, 16059, 583, 2648, 11, 3688, 284, 257, 890, 12, 4354, 1910, 2494, 286, 720, 16616, 13, 2231, 11, 1864, 284, 32425, 8428, 1366, 13, 198, 198, 1, 1639, 836, 470, 765, 284, 307, 307, 2077, 4621, 286, 618, 345, 2121, 656, 257, 14310, 553, 531, 8239, 33996, 11, 12499, 379, 10274, 694, 5976, 263, 7488, 278, 11419, 287, 8533, 11, 3936, 13, 198, 198, 9742, 7371, 338, 4283, 3214, 352, 13, 23, 4, 284, 720, 4309, 13, 5999, 287, 47168, 7313, 706, 38428, 7222, 531, 340, 561, 366, 33329, 5380, 257, 7741, 1, 287, 663, 2648, 2756, 13, 50256]"," a range of decline points.

The prices of the HDTVs bearing PepsiCo's logo climbed to $183.21 on the day of the company's IPO and the majority of its shares were trading at $122.

After Dell's stock went up, the stock was down 18.76% to close at $109.74, or 3 cents per share, compared to a long-term market rate of $113.45, according to Thomson Reuters data.

""You don't want to be be taken advantage of when you fall into a bubble,"" said Steven Mayer, analyst at Banckhaber Investing LLC in Dallas, Texas.

McDonald's stock fell 1.8% to $52.83 in midday trading after PepsiCo said it would ""actively seek a reduction"" in its share price."
